SYMBOL	ENSEMBL
TSPAN6	ENSG00000000003
TNMD	ENSG00000000005
DPM1	ENSG00000000419
SCYL3	ENSG00000000457
C1orf112	ENSG00000000460
FGR	ENSG00000000938
CFH	ENSG00000000971
FUCA2	ENSG00000001036
GCLC	ENSG00000001084
NFYA	ENSG00000001167
STPG1	ENSG00000001460
NIPAL3	ENSG00000001461
LAS1L	ENSG00000001497
ENPP4	ENSG00000001561
SEMA3F	ENSG00000001617
CFTR	ENSG00000001626
ANKIB1	ENSG00000001629
KRIT1	ENSG00000001631
RAD52	ENSG00000002016
NA	ENSG00000002079
BAD	ENSG00000002330
LAP3	ENSG00000002549
CD99	ENSG00000002586
HS3ST1	ENSG00000002587
AOC1	ENSG00000002726
WNT16	ENSG00000002745
HECW1	ENSG00000002746
MAD1L1	ENSG00000002822
LASP1	ENSG00000002834
SNX11	ENSG00000002919
TMEM176A	ENSG00000002933
M6PR	ENSG00000003056
KLHL13	ENSG00000003096
CYP26B1	ENSG00000003137
ICA1	ENSG00000003147
DBNDD1	ENSG00000003249
ALS2	ENSG00000003393
CASP10	ENSG00000003400
CFLAR	ENSG00000003402
TFPI	ENSG00000003436
NDUFAF7	ENSG00000003509
RBM5	ENSG00000003756
MTMR7	ENSG00000003987
SLC7A2	ENSG00000003989
ARF5	ENSG00000004059
SARM1	ENSG00000004139
POLDIP2	ENSG00000004142
PLXND1	ENSG00000004399
AK2	ENSG00000004455
CD38	ENSG00000004468
FKBP4	ENSG00000004478
KDM1A	ENSG00000004487
RBM6	ENSG00000004534
CAMKK1	ENSG00000004660
RECQL	ENSG00000004700
VPS50	ENSG00000004766
HSPB6	ENSG00000004776
ARHGAP33	ENSG00000004777
NDUFAB1	ENSG00000004779
PDK4	ENSG00000004799
SLC22A16	ENSG00000004809
ZMYND10	ENSG00000004838
ABCB5	ENSG00000004846
ARX	ENSG00000004848
SLC25A13	ENSG00000004864
ST7	ENSG00000004866
ST7-OT3	ENSG00000004866
CDC27	ENSG00000004897
SLC4A1	ENSG00000004939
CALCR	ENSG00000004948
HCCS	ENSG00000004961
DVL2	ENSG00000004975
PRSS22	ENSG00000005001
UPF1	ENSG00000005007
SKAP2	ENSG00000005020
SLC25A5	ENSG00000005022
MCUB	ENSG00000005059
HOXA11	ENSG00000005073
POLR2J	ENSG00000005075
DHX33	ENSG00000005100
MEOX1	ENSG00000005102
THSD7A	ENSG00000005108
LIG3	ENSG00000005156
RPAP3	ENSG00000005175
ACSM3	ENSG00000005187
REXO5	ENSG00000005189
CIAPIN1	ENSG00000005194
SPPL2B	ENSG00000005206
FAM214B	ENSG00000005238
COPZ2	ENSG00000005243
PRKAR2B	ENSG00000005249
MSL3	ENSG00000005302
CREBBP	ENSG00000005339
TSPOAP1	ENSG00000005379
MPO	ENSG00000005381
PON1	ENSG00000005421
GCFC2	ENSG00000005436
WDR54	ENSG00000005448
CROT	ENSG00000005469
ABCB4	ENSG00000005471
KMT2E	ENSG00000005483
RHBDD2	ENSG00000005486
SOX8	ENSG00000005513
IBTK	ENSG00000005700
ZNF195	ENSG00000005801
MYCBP2	ENSG00000005810
FBXL3	ENSG00000005812
ITGAL	ENSG00000005844
