title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	characteristics_ch1.5	characteristics_ch1.6	characteristics_ch1.7	characteristics_ch1.8	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip.postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell.type.ch1	diagnosis.ch1	neoplastic.ch1	patient.id.ch1	plate.id.ch1	selection.ch1	tissue.ch1	tsne.cluster.ch1	well.ch1
GBM cell 1	GSM2243439	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: G8	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.G8	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421106	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963641	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243439/suppl/GSM2243439_1001000173.G8.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	G8
GBM cell 6	GSM2243444	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: F6	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.F6	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421111	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963646	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243444/suppl/GSM2243444_1001000173.F6.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	F6
GBM cell 7	GSM2243445	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: B12	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.B12	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421105	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963647	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243445/suppl/GSM2243445_1001000173.B12.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	B12
GBM cell 9	GSM2243447	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: H1	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.H1	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421102	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963649	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243447/suppl/GSM2243447_1001000173.H1.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	H1
GBM cell 14	GSM2243452	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: E10	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.E10	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421100	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963654	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243452/suppl/GSM2243452_1001000173.E10.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	E10
GBM cell 17	GSM2243455	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: B1	tissue: Tumor	patient id: BT_S2	tsne cluster: 2	cell type: Oligodendrocyte	neoplastic: Regular	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.B1	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421249	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963657	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243455/suppl/GSM2243455_1001000173.B1.csv.gz	Oligodendrocyte	glioblastoma	Regular	BT_S2	1001000173	Unpanned	Tumor	2	B1
GBM cell 18	GSM2243456	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: B10	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.B10	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421250	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963658	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243456/suppl/GSM2243456_1001000173.B10.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	B10
GBM cell 19	GSM2243457	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: A7	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.A7	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421251	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963659	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243457/suppl/GSM2243457_1001000173.A7.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	A7
GBM cell 21	GSM2243459	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: F9	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.F9	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421253	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963661	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243459/suppl/GSM2243459_1001000173.F9.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	F9
GBM cell 22	GSM2243460	Public on Nov 01 2017	Jul 20 2016	Nov 01 2017	SRA	1	Brain	Homo sapiens	diagnosis: glioblastoma	plate id: 1001000173	well: G6	tissue: Tumor	patient id: BT_S2	tsne cluster: 11	cell type: Neoplastic	neoplastic: Neoplastic	selection: Unpanned	polyA RNA	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2	Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera XT. Nextera tagmentation according to the standard protocol for single cell RNA-seq following Smart-Seq2	9606	Single cell from Tumor	1001000173.G6	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL18573	Spyros,,Darmanis	spyros.darmanis@gmail.com	6506960861	Stephen Quake	Bioengineering	Stanford University	Clark Center, E300	Stanford	California	94305	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05421254	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1963662	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243460/suppl/GSM2243460_1001000173.G6.csv.gz	Neoplastic	glioblastoma	Neoplastic	BT_S2	1001000173	Unpanned	Tumor	11	G6
