gene_id	gene_name	seqnames	start	end	width	strand	gene_biotype	seq_coord_system	description	gene_id_version	symbol	entrezid
ENSMUSG00000064336	mt-Tf	MT	1	68	68	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487]	ENSMUSG00000064336.1	mt-Tf	"NA"
ENSMUSG00000064337	mt-Rnr1	MT	70	1024	955	+	Mt_rRNA	chromosome	mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]	ENSMUSG00000064337.1	mt-Rnr1	"NA"
ENSMUSG00000064338	mt-Tv	MT	1025	1093	69	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472]	ENSMUSG00000064338.1	mt-Tv	"NA"
ENSMUSG00000064339	mt-Rnr2	MT	1094	2675	1582	+	Mt_rRNA	chromosome	mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]	ENSMUSG00000064339.1	mt-Rnr2	"NA"
ENSMUSG00000064340	mt-Tl1	MT	2676	2750	75	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482]	ENSMUSG00000064340.1	mt-Tl1	"NA"
ENSMUSG00000064341	mt-Nd1	MT	2751	3707	957	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]	ENSMUSG00000064341.1	mt-Nd1	17716
ENSMUSG00000064342	mt-Ti	MT	3706	3774	69	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484]	ENSMUSG00000064342.1	mt-Ti	"NA"
ENSMUSG00000064343	mt-Tq	MT	3772	3842	71	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477]	ENSMUSG00000064343.1	mt-Tq	"NA"
ENSMUSG00000064344	mt-Tm	MT	3845	3913	69	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480]	ENSMUSG00000064344.1	mt-Tm	"NA"
ENSMUSG00000064345	mt-Nd2	MT	3914	4951	1038	+	protein_coding	chromosome	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]	ENSMUSG00000064345.1	mt-Nd2	17717
ENSMUSG00000064346	mt-Tw	MT	4950	5016	67	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471]	ENSMUSG00000064346.1	mt-Tw	"NA"
ENSMUSG00000064347	mt-Ta	MT	5018	5086	69	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491]	ENSMUSG00000064347.1	mt-Ta	"NA"
ENSMUSG00000064348	mt-Tn	MT	5089	5159	71	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA asparagine [Source:MGI Symbol;Acc:MGI:102479]	ENSMUSG00000064348.1	mt-Tn	"NA"
ENSMUSG00000064349	mt-Tc	MT	5192	5257	66	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490]	ENSMUSG00000064349.1	mt-Tc	"NA"
ENSMUSG00000064350	mt-Ty	MT	5260	5326	67	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA tyrosine [Source:MGI Symbol;Acc:MGI:102470]	ENSMUSG00000064350.1	mt-Ty	"NA"
ENSMUSG00000064351	mt-Co1	MT	5328	6872	1545	+	protein_coding	chromosome	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]	ENSMUSG00000064351.1	mt-Co1	17708
ENSMUSG00000064352	mt-Ts1	MT	6870	6938	69	-	Mt_tRNA	chromosome	mitochondrially encoded tRNA serine 1 [Source:MGI Symbol;Acc:MGI:102475]	ENSMUSG00000064352.1	mt-Ts1	"NA"
ENSMUSG00000064353	mt-Td	MT	6942	7011	70	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA aspartic acid [Source:MGI Symbol;Acc:MGI:102489]	ENSMUSG00000064353.1	mt-Td	"NA"
ENSMUSG00000064354	mt-Co2	MT	7013	7696	684	+	protein_coding	chromosome	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]	ENSMUSG00000064354.1	mt-Co2	17709
ENSMUSG00000064355	mt-Tk	MT	7700	7764	65	+	Mt_tRNA	chromosome	mitochondrially encoded tRNA lysine [Source:MGI Symbol;Acc:MGI:102483]	ENSMUSG00000064355.1	mt-Tk	"NA"
ENSMUSG00000064356	mt-Atp8	MT	7766	7969	204	+	protein_coding	chromosome	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]	ENSMUSG00000064356.3	mt-Atp8	17706
